Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,stat_inf_class,clustering
primeiro,,37,22,59,43,43,86,11,0.291048,0.317179,180722.85497,0.063614,0.045696,0.001583,0,1,6,0.056494
registrar,,6,8,14,8,8,16,11,0.252957,0.268935,21064.967597,0.006905,0.006785,0.000316,0,1,27,0.038462
relação,,8,8,16,8,8,16,11,0.24723,0.262555,36462.062678,0.005484,0.003771,0.00035,0,1,71,0.014286
acordado,,1,1,2,1,1,2,13,0.173534,0.178696,90.066146,0.000201,0.000229,0.000069,0,1,0,0
colégio,,4,2,6,4,4,8,12,0.209929,0.219133,16186.869121,0.006425,0.000207,0.000198,0,1,0,0.05
partir,,17,17,34,17,17,34,10,0.272306,0.29195,102222.408981,0.027545,0.022406,0.00087,0,1,57,0.033868
fala,,16,17,33,19,19,38,10,0.270076,0.291245,86089.259994,0.023714,0.02215,0.000736,0,1,25,0.047379
gostaria,,13,15,28,16,16,32,11,0.267245,0.285895,41542.266424,0.036351,0.011285,0.000446,0,1,67,0.092593
registro,,3,5,8,5,5,10,11,0.255934,0.272344,12648.951637,0.003431,0.005466,0.000154,0,1,61,0.017857
entendo,,5,5,10,5,5,10,10,0.271236,0.290715,32247.881541,0.013363,0.018125,0.00032,0,1,25,0.155556
apreciar,,2,2,4,2,2,4,11,0.211239,0.220369,3093.007097,0.002154,0.001378,0.000126,0,1,37,0
rejeitará,,1,1,2,1,1,2,11,0.224663,0.235908,934.239618,0.000042,0.000927,0.000083,0,1,18,0
relatório,,25,18,43,27,27,54,10,0.278414,0.299889,146050.589369,0.025077,0.030724,0.00131,0,1,20,0.057051
acatando,,1,1,2,1,1,2,12,0.197497,0.204984,0,0.001403,0.000658,0.000063,0,1,67,0.5
abertura,,24,7,31,29,29,58,11,0.246054,0.261074,123774.802424,0.01849,0.004801,0.001093,0,1,36,0.02069
ladeada,,1,1,2,1,1,2,12,0.197376,0.20535,65.663396,0.001073,0.000592,0.000068,0,1,69,0
seguida,,9,8,17,18,18,36,11,0.245867,0.261807,20080.981954,0.016622,0.004692,0.000371,0,1,69,0.0875
manifestantes,,3,3,6,3,3,6,12,0.228966,0.240621,1953.463707,0.001341,0.001825,0.000167,0,1,58,0.033333
partes,,2,2,4,2,2,4,11,0.251886,0.268219,1771.733441,0.000183,0.006502,0.000114,0,1,58,0
adequado,,2,2,4,2,2,4,12,0.2068,0.215506,299.889404,0.000399,0.000963,0.000126,0,1,58,0
obrigado,,7,7,14,7,7,14,11,0.257436,0.27485,24251.379371,0.026819,0.016068,0.000309,0,1,56,0.126374
quero,,86,39,125,106,106,212,10,0.285179,0.309871,446851.525438,0.13756,0.039374,0.003516,0,1,41,0.043287
retirar,,3,4,7,4,4,8,12,0.219257,0.229943,7906.853405,0.001632,0.001691,0.000154,0,1,64,0.047619
posições,,4,4,8,4,4,8,12,0.219881,0.230705,7064.665555,0.001491,0.001075,0.000212,0,1,38,0.017857
têm,,2,2,4,2,2,4,11,0.230598,0.24295,823.910254,0.00552,0.002258,0.000097,0,1,38,0.083333
liberdade,,12,12,24,12,12,24,11,0.272722,0.293424,55478.881151,0.023753,0.023307,0.000625,0,1,38,0.094862
posicionar,,1,1,2,1,1,2,12,0.218831,0.228839,72.893783,0.00083,0.000316,0.000073,0,1,45,0
cabe,,12,12,24,12,12,24,11,0.280071,0.301937,96967.722088,0.008861,0.016459,0.000667,0,1,45,0.025692
casa,,94,99,193,115,115,230,10,0.329535,0.366684,1265267.225663,0.092342,0.12638,0.004426,0,1,11,0.02152
posso,,16,14,30,19,19,38,11,0.250157,0.266672,68258.603907,0.03175,0.005734,0.000702,0,1,43,0.035632
determinar,,1,2,3,2,2,4,12,0.190071,0.196846,5246.39389,0.000204,0.000569,0.000072,0,1,64,0
sente,,1,1,2,1,1,2,12,0.2179,0.227992,1579.578976,0.00002,0.000864,0.000059,0,1,64,0
fique,,3,3,6,3,3,6,11,0.228915,0.240579,15022.7127,0.015969,0.001471,0.000109,0,1,64,0.1
espaço,,7,7,14,7,7,14,11,0.24407,0.258524,31991.201626,0.007821,0.002635,0.000321,0,1,64,0.115385
tenho,,27,24,51,30,30,60,11,0.278504,0.300058,178417.733319,0.046412,0.024946,0.00127,0,1,7,0.035289
oses,,1,1,2,1,1,2,12,0.192266,0.199326,383.899722,0.000888,0.000252,0.000074,0,1,18,0
discurso,,12,13,25,13,13,26,11,0.237988,0.252007,83084.863987,0.007072,0.003059,0.000642,0,1,18,0.001667
