Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,stat_inf_class,clustering
ilumine,,4,4,8,4,4,8,11,0.252759,0.269293,42633.159882,0.00607,0.006514,0.000214,0,1,76,0
divulgado,,1,1,2,1,1,2,12,0.18291,0.189188,88.271959,0.000232,0.000268,0.000074,0,1,76,0
pardos,,1,1,2,1,1,2,14,0.155054,0.158657,5181.631319,0.000701,0,0.000067,0,1,61,0
blocos,,1,1,2,1,1,2,13,0.183468,0.189314,5181.631319,0,0.00001,0.000086,0,1,61,0
chamaremos,,2,2,4,2,2,4,12,0.224633,0.235428,10456.013917,0.000276,0.006735,0.000133,0,1,61,0
pro,,1,1,2,1,1,2,12,0.198825,0.20635,126.120405,0.000635,0.000118,0.000067,0,1,71,0
menor,,4,4,8,4,4,8,11,0.248118,0.263134,9836.31754,0.003317,0.005948,0.000225,0,1,44,0.017857
acrescer,,1,1,2,1,1,2,12,0.222146,0.232937,141.574724,0.000901,0.001307,0.000074,0,1,60,0
corresponderia,,1,1,2,1,1,2,12,0.209775,0.218656,209.717665,0.000471,0.000269,0.000077,0,1,53,0
liderança,,16,15,31,20,20,40,11,0.294057,0.319383,70415.901534,0.019848,0.036373,0.000749,0,1,7,0.090805
semana,,12,13,25,13,13,26,11,0.244508,0.259968,56996.830228,0.003331,0.00568,0.00055,0,1,0,0.057312
utilizaram,,1,1,2,1,1,2,12,0.169922,0.174854,5187.725918,0.000202,0,0.000065,0,1,53,0
utilizado,,1,1,2,1,1,2,11,0.204666,0.213244,5187.725918,0,0.000292,0.000084,0,1,53,0
colocado,,2,2,4,2,2,4,11,0.243165,0.257097,16342.678814,0.000471,0.004296,0.000151,0,1,29,0.083333
facultada,,1,1,2,1,1,2,11,0.214567,0.22448,163.280699,0.000153,0.001201,0.000093,0,1,29,0
líder,,17,14,31,17,17,34,11,0.28738,0.31033,88560.227856,0.029933,0.03767,0.000787,0,1,65,0.084946
utiliza,,1,1,2,1,1,2,11,0.222787,0.233656,0,0.001342,0.001663,0.000077,0,1,65,0.5
convier,,1,1,2,1,1,2,12,0.205633,0.214063,115.504433,0.001267,0.000036,0.00007,0,1,53,0
dividir,,5,5,10,5,5,10,11,0.258813,0.276034,13114.563801,0.001019,0.010547,0.000291,0,1,53,0.013889
chamo,,15,11,26,15,15,30,11,0.249566,0.265295,37680.143664,0.023521,0.011748,0.000592,0,1,68,0.072464
saudando,,3,3,6,3,3,6,12,0.23869,0.252057,954.788128,0.020674,0.004618,0.000115,0,1,72,0.166667
representações,,1,1,2,1,1,2,14,0.131297,0.133632,15522,0.00154,0,0.000066,0,1,0,0
partidárias,,1,1,2,1,1,2,13,0.151115,0.154533,15522,0,0,0.000085,0,1,0,0
assento,,1,1,2,1,1,2,12,0.17798,0.183442,15522,0,0,0.000102,0,1,0,0
iniciamos,,1,1,2,1,1,2,11,0.21646,0.226325,15522,0,0.001233,0.000115,0,1,0,0
histórica,,1,2,3,2,2,4,13,0.171669,0.176711,6285.210425,0.000542,0.000073,0.000077,0,1,10,0
analisada,,2,2,4,2,2,4,12,0.186886,0.193198,993.850279,0.000003,0.000003,0.000062,0,1,10,0.333333
páginas,,3,2,5,3,3,6,11,0.229789,0.241709,17466.58184,0.00008,0.001649,0.000165,0,1,10,0
clima,,1,1,2,1,1,2,11,0.205096,0.213343,119.523015,0.000542,0.00014,0.000077,0,1,30,0
paz,,5,5,10,5,5,10,10,0.257962,0.274783,15927.404472,0.003936,0.011341,0.000273,0,1,30,0.055556
sociedade,,14,6,20,14,14,28,11,0.247123,0.262486,25705.851483,0.015145,0.005646,0.000658,0,1,26,0.034211
assiste,,5,5,10,5,5,10,11,0.248345,0.263498,13366.171827,0.010062,0.007362,0.000253,0,1,73,0.077778
fazendo,,13,12,25,14,14,28,10,0.273993,0.295278,57625.262792,0.031351,0.023847,0.000632,0,1,68,0.057971
brincadeira,,1,1,2,1,1,2,12,0.20495,0.21311,74.370499,0.000849,0.000138,0.000074,0,1,67,0
jogo,,6,6,12,6,6,12,11,0.266091,0.285026,25777.58293,0.001307,0.010563,0.00031,0,1,67,0.037879
futebol,,1,1,2,1,1,2,12,0.203547,0.212045,63.312685,0.000376,0.000482,0.000073,0,1,67,0
sanções,,1,1,2,1,1,2,12,0.189576,0.19631,1589.83993,0,0,0.000077,0,1,77,0
previstas,,3,3,6,3,3,6,11,0.23387,0.246777,10852.768745,0,0.003181,0.000161,0,1,77,0.2
ordenamento,,5,2,7,5,5,10,11,0.207139,0.215776,8297.801037,0.00967,0.000134,0.000284,0,1,77,0.02381
princípios,,9,10,19,10,10,20,11,0.256149,0.272925,65319.127518,0.01435,0.009528,0.0005,0,1,47,0.049708
reuniu,,4,4,8,4,4,8,11,0.25125,0.267444,7811.474678,0.00628,0.00514,0.000228,0,1,33,0.2
meio,,4,4,8,4,4,8,12,0.205128,0.214038,16812.944183,0.001118,0.00012,0.000255,0,1,33,0
lado,,24,24,48,29,29,58,10,0.287236,0.310508,139389.024246,0.031213,0.039959,0.001154,0,1,5,0.059204
lutou,,4,4,8,4,4,8,10,0.250423,0.265516,7384.189565,0.009356,0.005388,0.000193,0,1,20,0.142857
liberdades,,3,3,6,3,3,6,11,0.255328,0.272495,6439.667831,0.002092,0.007929,0.000167,0,1,20,0.1
garantias,,1,1,2,1,1,2,11,0.212541,0.221695,3175.488347,0.009061,0.000029,0.00009,0,1,20,0.5
individuais,,4,4,8,4,4,8,10,0.269879,0.289159,20561.000151,0.000803,0.021515,0.000218,0,1,20,0.089286
restabelecidas,,1,1,2,1,1,2,11,0.2518,0.268,395.699465,0.000766,0.006488,0.000075,0,1,20,0
compromisso,,8,8,16,10,10,20,10,0.255643,0.272822,55683.122128,0.011211,0.013368,0.000464,0,1,30,0.058333
inabalável,,1,1,2,1,1,2,12,0.224809,0.235201,0,0.006045,0.002283,0.000042,0,1,52,0.5
circunstância,,2,2,4,2,2,4,11,0.239231,0.253159,3748.757159,0.003559,0.003388,0.0001,0,1,58,0.083333
levará,,2,2,4,2,2,4,11,0.244036,0.258155,1256.788046,0.003873,0.004466,0.000114,0,1,58,0.083333
agir,,1,1,2,1,1,2,11,0.222777,0.233647,355.626377,0.004485,0.001663,0.000068,0,1,0,0
diferente,,10,11,21,12,12,24,11,0.268925,0.289449,61617.480516,0.007525,0.033402,0.000506,0,1,14,0.05
ideais,,1,1,2,1,1,2,12,0.214309,0.223944,0,0.004755,0.000846,0.00007,0,1,38,0.5
Federativa,,2,2,4,2,2,4,12,0.235648,0.248612,5518.723709,0.000831,0.003436,0.000141,0,1,38,0
exercendo,,3,3,6,3,3,6,10,0.249795,0.264956,2587.958066,0.002419,0.00591,0.000159,0,1,38,0.2
consciente,,3,3,6,3,3,6,11,0.248882,0.263465,6724.581755,0.013998,0.005064,0.000155,0,1,55,0.25
optou,,1,1,2,1,1,2,11,0.25954,0.277327,260.925334,0.00018,0.013447,0.000073,0,1,55,0.5
favorável,,3,4,7,4,4,8,11,0.237824,0.251426,3395.036046,0.011337,0.00393,0.000169,0,1,25,0.214286
impedimento,,13,9,22,16,16,32,11,0.274356,0.295198,27135.756283,0.029567,0.020852,0.000581,0,1,56,0.1
Tomou,,1,1,2,1,1,2,11,0.223759,0.233979,235.729886,0.00154,0.001138,0.000066,0,1,43,0
entender,,5,5,10,5,5,10,11,0.258813,0.275959,15605.256704,0.010389,0.009495,0.000243,0,1,42,0.088889
circunstâncias,,3,3,6,3,3,6,11,0.225337,0.236749,9609.336643,0.00142,0.001317,0.000157,0,1,42,0
vive,,8,9,17,9,9,18,11,0.251935,0.268332,75224.543658,0.021731,0.008123,0.000484,0,1,58,0.05
preenchidas,,1,1,2,1,1,2,12,0.218821,0.22883,41.268845,0.000477,0.000316,0.000038,0,1,45,0
qualidade,,4,4,8,4,4,8,11,0.229779,0.241431,21998.971726,0.003979,0.001618,0.000279,0,1,25,0
direta,,3,3,6,3,3,6,11,0.223605,0.234464,12020.446419,0.00603,0.001874,0.000167,0,1,37,0.033333
emocionado,,1,1,2,1,1,2,12,0.20783,0.216728,67.594343,0.001267,0.001247,0.00007,0,1,61,0
geração,,14,12,26,17,17,34,11,0.262315,0.280978,71625.424464,0.035027,0.008362,0.000541,0,1,61,0.094203
viveria,,1,1,2,1,1,2,11,0.237518,0.250985,345.514758,0.000298,0.004389,0.000067,0,1,61,0
reafirmo,,1,1,2,1,1,2,11,0.221936,0.232376,361.27538,0.002967,0.001859,0.000071,0,1,52,0
sexta-feira,,1,1,2,1,1,2,12,0.197738,0.205675,136.23394,0.000109,0.000565,0.000071,0,1,18,0
encaminhar,,8,3,11,8,8,16,11,0.263463,0.28226,12451.28096,0.00628,0.016586,0.000402,0,1,56,0.081818
sabemos,,7,7,14,7,7,14,11,0.243829,0.25787,30889.43573,0.022632,0.003434,0.00028,0,1,60,0.115385
aconteça,,1,1,2,1,1,2,13,0.185022,0.191098,5181.815004,0.000122,0,0.000063,0,1,60,0
acontec,,1,1,2,1,1,2,12,0.226988,0.238289,5181.815004,0,0.001655,0.000083,0,1,60,0
teremos,,2,2,4,2,2,4,12,0.227177,0.238569,6223.364337,0.010695,0.001657,0.000125,0,1,76,0.166667
nova,,16,13,29,16,16,32,11,0.253775,0.271095,50690.78091,0.02151,0.008489,0.000745,0,1,26,0.042328
etapa,,2,2,4,2,2,4,12,0.206404,0.215233,5905.46352,0.012672,0.000237,0.000101,0,1,63,0
disputas,,1,1,2,1,1,2,12,0.217269,0.227279,194.80629,0.000423,0.00016,0.000072,0,1,2,0
ambições,,1,1,2,1,1,2,12,0.217251,0.227231,0,0.000838,0.00016,0.000081,0,1,53,0
continuem,,1,1,2,1,1,2,12,0.194207,0.201313,167.211382,0.000838,0.000183,0.000081,0,1,53,0
trouxe,,3,3,6,3,3,6,11,0.274254,0.294624,7789.584623,0.001009,0.020007,0.000181,0,1,58,0.066667
faço,,8,7,15,9,9,18,11,0.263557,0.282286,23623.139028,0.011821,0.014811,0.000327,0,1,53,0.126374
sentemos,,1,1,2,1,1,2,12,0.2179,0.227992,34.538488,0.000195,0.000864,0.000055,0,1,61,0
passamos,,5,5,10,6,6,12,11,0.22519,0.237579,6644.793424,0.023691,0.002289,0.000219,0,1,69,0.111111
futuro,,47,37,84,62,62,124,10,0.298845,0.326796,293850.327759,0.08008,0.062406,0.002228,0,1,17,0.044258
imediato,,1,1,2,1,1,2,13,0.190736,0.197487,489.80981,0.002222,0.00003,0.00008,0,1,38,0
reivindicam,,2,2,4,2,2,4,11,0.23134,0.243747,505.005307,0.002758,0.001543,0.000109,0,1,77,0.166667
reivindicar,,1,1,2,1,1,2,11,0.206002,0.214244,383.735818,0.002304,0.000489,0.000059,0,1,77,0
temos,,38,32,70,45,45,90,11,0.303489,0.330849,281337.017577,0.075224,0.042278,0.001615,0,1,28,0.042657
criar,,1,1,2,1,1,2,11,0.178742,0.184152,173.691626,0.000858,0.000038,0.000064,0,1,77,0
ambiente,,3,2,5,3,3,6,10,0.217598,0.227481,7088.288928,0.00108,0.00104,0.000169,0,1,77,0.05
necessário,,7,7,14,7,7,14,11,0.25339,0.270588,13370.116002,0.001481,0.007868,0.000341,0,1,72,0.027473
propício,,1,1,2,1,1,2,13,0.179119,0.184891,149.295456,0.000607,0.000269,0.000067,0,1,8,0
avanços,,5,4,9,5,5,10,12,0.218157,0.228788,15916.377139,0.007539,0.00155,0.000296,0,1,8,0.027778
ocorrer,,2,2,4,2,2,4,12,0.202274,0.210635,723.857693,0.002068,0.000271,0.000105,0,1,76,0
agiu,,2,2,4,2,2,4,12,0.198695,0.206536,7456.288872,0.001549,0,0.000111,0,1,63,0.083333
lideranças,,3,3,6,3,3,6,11,0.247786,0.263157,11930.07181,0.000012,0.007008,0.000164,0,1,63,0.066667
polo,,1,1,2,1,1,2,12,0.189653,0.196382,1145.63768,0,0.000001,0.000076,0,1,63,0
ativo,,2,2,4,2,2,4,11,0.233996,0.246898,14877.170039,0.000019,0.002841,0.000147,0,1,44,0.083333
exercemos,,2,2,4,2,2,4,11,0.241294,0.254978,0,0.002338,0.001699,0.000074,0,1,75,0.5
agradecimento,,5,4,9,7,7,14,11,0.247395,0.262577,5363.48506,0.020641,0.006562,0.000226,0,1,47,0.180556
conhece,,4,3,7,4,4,8,12,0.209157,0.218311,9341.380857,0.005463,0.000447,0.000185,0,1,1,0
posicionamento,,6,7,13,7,7,14,11,0.259722,0.277697,23510.386584,0.006372,0.00948,0.000317,0,1,1,0.098485
acompanharão,,1,1,2,1,1,2,12,0.225249,0.236019,158.358701,0.00154,0.001765,0.000066,0,1,57,0.5
compreensão,,1,1,2,1,1,2,11,0.246699,0.260705,0,0.00154,0.005336,0.000066,0,1,5,0.5
tiveram,,9,9,18,9,9,18,11,0.233933,0.247241,45974.980392,0.010783,0.002242,0.000473,0,1,8,0.02381
fácil,,7,7,14,7,7,14,11,0.277043,0.298493,12113.076376,0.014885,0.019239,0.000286,0,1,73,0.141026
companheiro,,3,3,6,3,3,6,12,0.200124,0.208229,10936.84202,0.007845,0.000099,0.000112,0,1,1,0
companheira,,1,1,2,1,1,2,11,0.242925,0.256771,3676.775917,0.000004,0.00429,0.000061,0,1,1,0
desejo,,2,2,4,2,2,4,12,0.215784,0.226185,553.646576,0.001632,0.001613,0.000111,0,1,46,0
exercer,,3,3,6,3,3,6,11,0.26492,0.283786,1667.497854,0.004786,0.01598,0.000124,0,1,45,0.166667
coerência,,11,11,22,12,12,24,11,0.271834,0.291415,47135.451459,0.026743,0.01781,0.000561,0,1,72,0.071429
necessária,,3,3,6,3,3,6,11,0.220857,0.231833,1623.88133,0.00177,0.000859,0.000147,0,1,46,0
transformação,,2,2,4,2,2,4,11,0.251861,0.268193,5998.673952,0.000729,0.006496,0.000115,0,1,1,0.166667
sair,,5,6,11,6,6,12,11,0.220942,0.232041,18780.827018,0.015052,0.002238,0.00022,0,1,22,0.063636
grandes,,6,7,13,7,7,14,11,0.240666,0.254475,50631.295422,0.00584,0.001848,0.000276,0,1,46,0.012821
vencidos,,2,2,4,2,2,4,12,0.217069,0.227417,6132.293626,0.000109,0.001909,0.000103,0,1,46,0
vitória,,3,3,6,3,3,6,10,0.245494,0.260038,1856.048736,0.000293,0.008289,0.000122,0,1,9,0.2
melhores,,4,8,12,9,9,18,11,0.275818,0.296295,35602.63302,0.001481,0.02509,0.000269,0,1,29,0.090909
viva,,11,10,21,11,11,22,10,0.279255,0.301124,45392.573331,0.017771,0.031212,0.000563,0,1,59,0.084795
dever,,9,9,18,9,9,18,11,0.242902,0.257857,41573.996401,0.005939,0.005471,0.000551,0,1,25,0.009804
encarecer,,1,1,2,1,1,2,11,0.216433,0.226305,210.650773,0.002422,0.001233,0.000077,0,1,0,0
ocorra,,1,1,2,1,1,2,12,0.207796,0.216747,295.672286,0.000542,0.000143,0.000077,0,1,13,0
espera,,6,6,12,7,7,14,11,0.252833,0.269124,17483.566225,0.028025,0.006538,0.000269,0,1,13,0.172727
lembrando,,3,3,6,4,4,8,12,0.227237,0.239124,8241.329737,0.005489,0.002278,0.000073,0,1,49,0.25
guiar,,1,1,2,1,1,2,12,0.218821,0.22883,208.259116,0.000379,0.000316,0.000075,0,1,45,0
acrescemos,,1,1,2,1,1,2,12,0.222146,0.232937,141.574724,0.000901,0.001307,0.000074,0,1,60,0
tenha,,9,8,17,9,9,18,11,0.268367,0.287779,39430.684734,0.044265,0.012977,0.000401,0,1,68,0.141667
colocada,,1,1,2,1,1,2,13,0.17642,0.181767,61.619532,0.000901,0.000197,0.000074,0,1,38,0
referência,,4,4,8,4,4,8,12,0.214167,0.223835,13445.13076,0.005519,0.000416,0.000196,0,1,38,0.166667
chama,,6,6,12,6,6,12,11,0.26496,0.283728,22499.607862,0.005816,0.015669,0.000319,0,1,13,0.060606
temp,,1,1,2,1,1,2,13,0.181767,0.187626,5175,0.001595,0,0.000072,0,1,60,0.5
coloque,,1,1,2,1,1,2,12,0.222127,0.232911,5175,0,0.001307,0.00009,0,1,60,0.5
deputadas,,5,18,23,27,27,54,10,0.276703,0.297491,60889.597169,0.010986,0.022738,0.00046,0,1,7,0.049784
combativa,,3,3,6,3,3,6,11,0.23625,0.248806,2118.640286,0.006431,0.002474,0.000152,0,1,53,0.15
senadores,,2,2,4,2,2,4,12,0.208097,0.216682,5776.555081,0.000275,0.000027,0.000111,0,1,21,0
senadoras,,1,1,2,1,1,2,11,0.242265,0.256096,1983.673701,0.000001,0.003921,0.000076,0,1,21,0
consciência,,29,27,56,32,32,64,10,0.291951,0.317122,175839.110502,0.049448,0.045365,0.001417,0,1,28,0.050314
constituída,,1,1,2,1,1,2,12,0.195609,0.202772,35.815078,0.00103,0.000575,0.000053,0,1,62,0
mulheres,,8,14,22,15,15,30,11,0.275173,0.296644,54565.157165,0.015036,0.026494,0.000401,0,1,33,0.077922
oposição,,11,9,20,13,13,26,11,0.257974,0.275379,48364.642019,0.007249,0.009668,0.000463,0,1,26,0.087719
fundamenta,,1,1,2,1,1,2,13,0.157906,0.161769,3836.644117,0.004354,0.000006,0.000067,0,1,49,0
motivos,,2,2,4,2,2,4,12,0.187482,0.19391,5344.4229,0.000162,0.000041,0.000157,0,1,49,0
fundamentais,,2,2,4,2,2,4,11,0.225112,0.235802,12714.94762,0.000341,0.000519,0.000138,0,1,49,0
constituiu-se,,1,1,2,1,1,2,12,0.198489,0.206293,140.278037,0.000018,0.00065,0.000088,0,1,49,0
proposta,,3,3,6,3,3,6,12,0.21656,0.226294,13941.619165,0.000263,0.000663,0.000184,0,1,37,0
chapa,,6,6,12,6,6,12,11,0.248822,0.264193,16194.143353,0.00893,0.006958,0.000221,0,1,58,0.208333
Aliados,,1,1,2,1,1,2,12,0.196956,0.204652,150.497318,0.000379,0.000158,0.000075,0,1,21,0
garantiu,,5,5,10,5,5,10,11,0.245215,0.260542,14555.927414,0.004428,0.005106,0.000234,0,1,21,0.022222
jovair,,2,3,5,3,3,6,11,0.260218,0.278313,2000.922658,0.004982,0.01367,0.000089,0,1,21,0.25
límpida,,1,1,2,1,1,2,12,0.195838,0.203019,5352.651523,0,0,0.000076,0,1,21,0
tese,,1,1,2,1,1,2,11,0.243473,0.2575,5352.651523,0,0.003175,0.000093,0,1,21,0
tivemos,,8,9,17,9,9,18,11,0.261731,0.2804,49450.754058,0.015196,0.007889,0.000394,0,1,46,0.025
dúvida,,8,9,17,9,9,18,11,0.237758,0.251519,21094.467119,0.010784,0.003328,0.000361,0,1,30,0.011029
teriam,,1,1,2,1,1,2,12,0.19764,0.205081,70.823199,0.000181,0.000067,0.000064,0,1,46,0
postura,,4,4,8,4,4,8,11,0.246265,0.26106,29080.072632,0.001891,0.006555,0.000229,0,1,46,0.02381
Imparcial,,1,1,2,1,1,2,12,0.207738,0.216657,28.497908,0.000233,0.000021,0.000078,0,1,46,0
andar,,2,2,4,2,2,4,11,0.262156,0.280552,5702.922907,0.000603,0.017018,0.000127,0,1,46,0.083333
apresentação,,1,1,2,2,2,4,11,0.217799,0.227581,131.055234,0.002655,0.000893,0.000087,0,1,20,0.5
advogado,,6,6,12,6,6,12,12,0.218489,0.229061,16360.007696,0.004463,0.000859,0.000244,0,1,61,0.109091
reale,,1,1,2,1,1,2,12,0.198481,0.206283,139.706862,0.000031,0.00065,0.000064,0,1,61,0
ficou,,6,6,12,6,6,12,12,0.216723,0.227307,28381.644624,0.005625,0.000852,0.000266,0,1,23,0
nítido,,1,1,2,1,1,2,12,0.224819,0.235211,389.608952,0.00003,0.002283,0.000067,0,1,23,0
ruas,,47,57,104,64,64,128,11,0.295097,0.324168,400738.401514,0.068362,0.054345,0.001874,0,1,78,0.038015
repercute,,1,1,2,1,1,2,11,0.229169,0.24059,600.104779,0.001935,0.000462,0.000057,0,1,43,0
somada,,1,1,2,1,1,2,12,0.172315,0.177067,5181.452105,0.001901,0,0.000067,0,1,22,0
nítida,,1,1,2,1,1,2,11,0.208147,0.216466,5181.452105,0,0.000144,0.000086,0,1,22,0
impeach,,25,26,51,35,35,70,10,0.294643,0.321104,128902.399812,0.033003,0.057698,0.001016,0,1,36,0.079507
indecisos,,2,2,4,2,2,4,11,0.217424,0.227209,5273.16091,0.006423,0.000392,0.000088,0,1,42,0.166667
pretendiam,,1,1,2,1,1,2,12,0.205144,0.213417,1006.95371,0.005482,0.000042,0.000052,0,1,56,0
vice-presidente,,16,12,28,16,16,32,11,0.264838,0.282522,77912.659827,0.021243,0.012417,0.000801,0,1,75,0.021368
querem,,42,33,75,43,43,86,11,0.281979,0.305152,301366.44394,0.063207,0.022005,0.001935,0,1,48,0.0223
rechaçar,,1,1,2,1,1,2,13,0.157646,0.161532,10349,0.000784,0,0.000079,0,1,48,0
risco,,1,1,2,1,1,2,12,0.187116,0.193493,10349,0,0,0.000096,0,1,48,0
posto,,1,1,2,1,1,2,11,0.230136,0.24208,10349,0,0.002852,0.000111,0,1,48,0
derrota,,2,2,4,2,2,4,12,0.209013,0.218002,277.375904,0.002438,0.000634,0.000117,0,1,35,0.083333
terceiro,,3,2,5,3,3,6,11,0.22373,0.234838,1585.265011,0.009319,0.005056,0.000178,0,1,35,0
motivo,,5,6,11,7,7,14,11,0.244844,0.259639,8262.010893,0.00442,0.006608,0.000272,0,1,35,0.055556
fundamental,,4,4,8,4,4,8,11,0.258813,0.276217,22879.117576,0.001928,0.007162,0.000205,0,1,35,0.035714
candidatura,,4,3,7,4,4,8,11,0.244301,0.258629,17700.006097,0.000657,0.003344,0.000241,0,1,35,0
pretendida,,1,1,2,1,1,2,12,0.200978,0.209037,103.406264,0.000119,0.000396,0.000097,0,1,35,0
eleição,,14,12,26,15,15,30,11,0.25147,0.267982,54876.836697,0.011117,0.015647,0.000676,0,1,18,0.017787
indireta,,3,7,10,7,7,14,11,0.285069,0.307879,14824.242273,0.001827,0.029058,0.000155,0,1,23,0.177778
publicaram,,1,1,2,1,1,2,12,0.205953,0.214561,1046.510972,0.01237,0.000171,0.000052,0,1,49,0
corruptos,,9,9,18,9,9,18,11,0.259332,0.277201,44104.829675,0.00481,0.011112,0.000441,0,1,49,0.018382
derrubar,,2,2,4,2,2,4,11,0.221338,0.232391,1004.891239,0.002901,0.001678,0.000117,0,1,14,0
presidenta,,28,24,52,30,30,60,10,0.27626,0.298536,129373.095178,0.04456,0.036823,0.001194,0,1,52,0.061224
mulher,,23,18,41,30,30,60,10,0.284271,0.306959,75770.48521,0.051069,0.037914,0.000927,0,1,80,0.109244
honesta,,6,10,16,11,11,22,10,0.278444,0.29985,27234.109384,0.016498,0.027144,0.000269,0,1,80,0.1125
tivéssemos,,1,1,2,1,1,2,12,0.200971,0.20903,37.496417,0.000477,0.000396,0.000038,0,1,18,0
buscava,,1,1,2,1,1,2,13,0.161291,0.165473,5199.42477,0.00067,0,0.000075,0,1,18,0
lastrear,,1,1,2,1,1,2,12,0.192273,0.199332,5199.42477,0,0.000252,0.000092,0,1,18,0
anticorrupção,,1,1,2,1,1,2,12,0.189715,0.196309,111.126973,0.000109,0.000215,0.000071,0,1,18,0
manifestações,,6,7,13,7,7,14,11,0.248595,0.264433,29474.616652,0.002584,0.006129,0.000314,0,1,64,0
citados,,1,1,2,1,1,2,12,0.215353,0.225114,214.426176,0.001634,0.000549,0.000064,0,1,61,0
vezes,,14,14,28,14,14,28,11,0.274414,0.295563,101580.904865,0.01542,0.009727,0.000682,0,1,61,0.022487
delações,,1,1,2,1,1,2,13,0.16177,0.166158,5310.049099,0.000346,0,0.00007,0,1,60,0
premiadas,,1,1,2,1,1,2,12,0.192947,0.200319,5310.049099,0,0.000008,0.000089,0,1,60,0
investigações,,4,4,8,4,4,8,11,0.23901,0.253368,23339.478345,0.000217,0.003309,0.000262,0,1,60,0
metrô,,1,1,2,1,1,2,13,0.186637,0.192843,72.818553,0.000118,0.000011,0.000085,0,1,60,0
merenda,,4,4,8,4,4,8,12,0.229392,0.241246,50831.453391,0.000319,0.004127,0.000292,0,1,60,0.035714
postos,,2,1,3,2,2,4,14,0.157287,0.161157,10404.776126,0.000491,0,0.000135,0,1,35,0
correr,,1,2,3,2,2,4,13,0.186603,0.193025,10404.776126,0,0.000128,0.000144,0,1,35,0
manifestação,,5,5,10,5,5,10,12,0.22346,0.234298,27529.605074,0.00359,0.006889,0.000264,0,1,35,0
convocaram,,1,1,2,1,1,2,12,0.199138,0.207018,210.64189,0.000245,0.000092,0.000074,0,1,35,0
Ficou,,1,1,2,1,1,2,12,0.210801,0.220089,2822.197989,0.000005,0.000594,0.00009,0,1,35,0
procurador,,1,1,2,1,1,2,11,0.206437,0.214997,267.405949,0.000594,0.000059,0.000073,0,1,1,0
lava-jato,,7,7,14,7,7,14,10,0.260087,0.277841,31960.25541,0.001649,0.007869,0.000386,0,1,24,0.019231
ex-procurador,,1,1,2,1,1,2,12,0.157949,0.161765,125.50319,0.00028,0.000001,0.000076,0,1,61,0
geral,,2,2,4,2,2,4,11,0.187536,0.193914,5630.768158,0.000031,0.000026,0.000128,0,1,61,0
disseram,,2,2,4,2,2,4,12,0.215847,0.225424,4581.802072,0.000196,0.000263,0.00011,0,1,61,0
tratar,,2,2,4,2,2,4,12,0.185049,0.191442,5295.187067,0.000043,0.000133,0.000131,0,1,61,0
polícia,,5,2,7,5,5,10,11,0.223286,0.234464,5660.513895,0.003716,0.000553,0.000231,0,1,58,0
estadistas,,1,1,2,1,1,2,12,0.215057,0.225106,44.239269,0.001268,0.000698,0.000049,0,1,69,0
58:03,,1,1,2,1,1,2,12,0.181156,0.186943,5176.75,0.000808,0,0.000059,0,1,69,0
autonomia,,1,1,2,1,1,2,11,0.221197,0.231757,5176.75,0,0.000536,0.000079,0,1,69,0
mandou,,2,2,4,2,2,4,11,0.211767,0.220848,16475.97473,0.006145,0.000624,0.000115,0,1,69,0
combate,,10,3,13,11,11,22,11,0.242959,0.257586,8218.008925,0.026181,0.004321,0.00043,0,1,46,0.121212
delação,,2,1,3,2,2,4,12,0.196746,0.204081,5200.191163,0.002966,0,0.000102,0,1,62,0
premiada,,1,2,3,2,2,4,11,0.244902,0.259316,5200.191163,0,0.003287,0.000116,0,1,62,0
cara,,5,5,10,5,5,10,12,0.207214,0.21635,23281.754745,0.003511,0.000534,0.000245,0,1,18,0.011111
temer,,15,15,30,16,16,32,11,0.277014,0.298749,99563.59825,0.030338,0.040206,0.000749,0,1,33,0.078042
histórico,,5,15,20,15,15,30,10,0.273949,0.295013,37157.476284,0.011605,0.023705,0.000229,0,1,64,0.073099
conhecido,,1,1,2,1,1,2,14,0.146758,0.149957,10536.130956,0.00003,0,0.000067,0,1,37,0
engavetador,,1,1,2,1,1,2,13,0.171966,0.176965,10536.130956,0,0,0.000086,0,1,37,0
analistas,,1,1,2,1,1,2,12,0.20763,0.216347,10536.130956,0,0,0.000102,0,1,37,0
profissionais,,2,2,4,2,2,4,11,0.261957,0.279885,25875.784242,0,0.013465,0.000187,0,1,37,0
dizem,,1,1,2,1,1,2,13,0.187123,0.193425,35.821548,0.00034,0.000161,0.000088,0,1,37,0
objetivo,,3,3,6,3,3,6,12,0.230136,0.242023,7708.084885,0.004525,0.000813,0.000177,0,1,20,0.066667
parar,,4,4,8,4,4,8,11,0.251116,0.266365,13529.139704,0.000379,0.005918,0.000225,0,1,20,0.017857
lava,,5,1,6,5,5,10,11,0.212575,0.221853,7138.738632,0.007156,0.000146,0.000339,0,1,1,0.066667
jato,,2,6,8,6,6,12,10,0.269935,0.289581,21662.212851,0.004097,0.018432,0.000341,0,1,40,0.107143
lugar,,10,14,24,16,16,32,11,0.271578,0.291245,51183.724323,0.016416,0.021598,0.000456,0,1,57,0.051383
